id,old_filename,result,confidence
full_1200_423,QBA1061_6.JPG,0009,0.88
full_1200_424,QBA1067_2.JPG,!QBA1067_2.JPG,0.69
full_1200_425,QBA1070a.JPG,!QBA1070a.JPG,0.62
full_1200_426,QBA1073.JPG,0107,0.85
full_1200_427,QBA1074_5.JPG,1074,0.92
full_1200_428,QBA1076a_9.JPG,!QBA1076a_9.JPG,0.91
full_1200_429,QBA1084.JPG,1084,0.86
full_1200_430,QBA1087_2.JPG,1087,0.9
full_1200_431,QBA1095_4.JPG,0095,0.9
full_1200_432,QBA1096a_1.JPG,!QBA1096a_1.JPG,0.67
full_1200_433,QBA1096a_2.JPG,!QBA1096a_2.JPG,0.49
full_1200_434,QBA1101_6.JPG,1101,0.95
full_1200_435,QBA1102_7.JPG,0102,0.89
full_1200_436,QBA1115_2.JPG,1115,0.91
full_1200_437,QBA1141_1.JPG,!QBA1141_1.JPG,0.48
full_1200_438,QBA1149.JPG,1149,0.94
full_1200_439,QBA1153_1.JPG,1153,0.9
full_1200_440,QBA1156.JPG,1156,0.91
full_1200_441,QBA1156_10.JPG,7756,0.76
full_1200_442,QBA1156_11.JPG,1156,0.93
full_1200_443,QBA1156_2.JPG,1156,0.9
full_1200_444,QBA1156_5.JPG,9917,0.75
full_1200_445,QBA1156_6.JPG,9917,0.58
full_1200_446,QBA1156_8.JPG,1156,0.9
full_1200_447,SDB1001_1.JPG,1001,0.95
full_1200_448,SDB1001_2.JPG,1001,0.95
full_1200_449,SDB1002_1.JPG,1002,0.91
full_1200_450,SDB1002_2.JPG,1002,0.89
full_1200_451,SDB1003.JPG,1003,0.95
full_1200_452,SDB1004.JPG,1004,0.92
full_1200_453,SDB1005.JPG,1005,0.93
full_1200_454,SDB1006.JPG,1006,0.93
full_1200_455,SDB1007.JPG,1007,0.94
full_1200_456,SDB1008.JPG,1008,0.93
full_1200_457,SDB1009.JPG,1009,0.92
full_1200_458,SDB1009_1.JPG,1009,0.95
full_1200_459,SDB1010.JPG,1010,0.92
full_1200_460,SDB1011.JPG,1011,0.94
full_1200_461,SDB1012.JPG,1012,0.94
full_1200_462,SDB1013.JPG,1013,0.93
full_1200_463,SDB1014.JPG,1014,0.92
full_1200_464,SDB1015.JPG,1015,0.92
full_1200_465,SDB1016.JPG,1016,0.92
full_1200_466,SDB1017.JPG,1017,0.95
full_1200_467,SDB1018.JPG,1018,0.95
full_1200_468,SDB1018a.JPG,1018,0.88
full_1200_469,SDB1019.JPG,1019,0.94
full_1200_470,SDB1020.JPG,1020,0.94
full_1200_471,SDB1021.JPG,1021,0.92
full_1200_472,SDB1022.JPG,1022,0.94
full_1200_473,SDB1022_1.JPG,1022,0.94
full_1200_474,SDB1024.JPG,1024,0.94
full_1200_475,SDB1025.JPG,1025,0.95
full_1200_476,SDB1026.JPG,1026,0.92
full_1200_477,SDB1027.JPG,1027,0.9
full_1200_478,SDB1028.JPG,1028,0.94
full_1200_479,SDB1029.JPG,1029,0.93
full_1200_480,SDB1030.JPG,1030,0.95
full_1200_481,SDB1031.JPG,1031,0.94
full_1200_482,SDB1031a_1.JPG,1031,0.93
full_1200_483,SDB1031a_2.JPG,1031,0.94
full_1200_484,SDB1032.JPG,1032,0.96
full_1200_485,SDB1033.JPG,1033,0.95
full_1200_486,SDB1034.JPG,1034,0.95
full_1200_487,SDB1035.JPG,1035,0.94
full_1200_488,SDB1035_1.JPG,1035,0.94
full_1200_489,SDB1036.JPG,1036,0.93
full_1200_490,SDB1037_1.JPG,1037,0.87
full_1200_491,SDB1037_2.JPG,1037,0.92
full_1200_492,SDB1038.JPG,1038,0.92
full_1200_493,SDB1039.JPG,1039,0.95
full_1200_494,SDB1039_1.JPG,1039,0.96
full_1200_495,SDB1040.JPG,1040,0.94
full_1200_496,SDB1041.JPG,1041,0.95
full_1200_497,SDB1042.JPG,1042,0.96
full_1200_498,SDB1043.JPG,1043,0.95
full_1200_499,SDB2001.JPG,2001,0.93
full_1200_500,SDB2002.JPG,2002,0.93
full_1200_501,SDB2003.JPG,2003,0.94
full_1200_502,SDB2004.JPG,2004,0.93
full_1200_503,SDB2004_1.JPG,2004,0.94
full_1200_504,SDB2005.JPG,2005,0.93
full_1200_505,SDB2006.JPG,2006,0.94
full_1200_506,SDB2007.JPG,2007,0.93
full_1200_507,SDB2008.JPG,2008,0.91
full_1200_508,SDB2009.JPG,2009,0.93
full_1200_509,SDB2009_1.JPG,2009,0.92
